Sample_ID	Sample_Group	Treatment
1iMACUntreated	iMACs	Untreated
2iMACUntreated	iMACs	Untreated
3iMACUntreated	iMACs	Untreated
4iMACMtbAUX	iMACs	MtbAUX
5iMACMtbAUX	iMACs	MtbAUX
6iMACMtbAUX	iMACs	MtbAUX
7iMACLPS	iMACs	LPS
8MDMUntreated	MDM	Untreated
9MDMUntreated	MDM	Untreated
10MDMUntreated	MDM	Untreated
11MDMMtbAUX	MDM	MtbAUX
12MDMMtbAUX	MDM	MtbAUX
13MDMMtbAUX	MDM	MtbAUX
14MDMLPS	MDM	LPS
15AMUntreated	AM	Untreated
16AMUntreated	AM	Untreated
17AMUntreated	AM	Untreated
18AMMtbAUX	AM	MtbAUX
19AMMtbAUX	AM	MtbAUX
20AMMtbAUX	AM	MtbAUX
21AMLPS	AM	LPS
22THP1Untreated	THP1	Untreated
23THP1LPS	THP1	LPS
24THP1MtbAUX	THP1	MtbAUX
